1.00,0.00,0.00,,,,,,,
2.00,100.00,60.00,,,,,,,
3.00,90.00,40.00,,,,,,,
4.00,120.00,80.00,,,,,,,
5.00,60.00,30.00,,,,,,,
6.00,60.00,20.00,,,,,,,
7.00,200.00,100.00,,,,,,,
8.00,200.00,100.00,,,,,,,
9.00,60.00,20.00,,,,,,,
10.00,60.00,20.00,,,,,,,
11.00,45.00,30.00,,,,,,,
12.00,60.00,35.00,,,,,,,
13.00,60.00,35.00,,,,,,,
14.00,120.00,80.00,,,,,,,
15.00,60.00,10.00,,,,,,,
16.00,60.00,20.00,,,,,,,
17.00,60.00,20.00,,,,,,,
18.00,90.00,40.00,,,,,,,
19.00,90.00,40.00,,,,,,,
20.00,90.00,40.00,,,,,,,
21.00,90.00,40.00,,,,,,,
22.00,90.00,40.00,,,,,,,
23.00,90.00,50.00,,,,,,,
24.00,420.00,200.00,,,,,,,
25.00,420.00,200.00,,,,,,,
26.00,60.00,25.00,,,,,,,
27.00,60.00,25.00,,,,,,,
28.00,60.00,20.00,,,,,,,
29.00,120.00,70.00,,,,,,,
30.00,200.00,600.00,,,,,,,
31.00,150.00,70.00,,,,,,,
32.00,210.00,100.00,,,,,,,
33.00,60.00,40.00,,,,,,,
